uuid,Default_Rate
6f6e6c6a-2081-4e6b-8eb3-4fd89b54b2d7,"""0.0028169159777462482"
f6f6d9f3-ef2b-4329-a388-c6a687f27e70,0.0041387490928173065
e9c39869-1bc5-4375-b627-a2df70b445ea,0.0029970349278301
6beb88a3-9641-4381-beb6-c9a208664dd0,0.0201517716050148
bb89b735-72fe-42a4-ba06-d63be0f4ca36,0.01976657100021839
e4eede99-76a3-4437-a540-3059a1eff67c,0.022563178092241287
a2af8d9e-9f81-4185-8fff-b2ec49d681a6,0.0003227942215744406
ec910486-1e66-402a-80f2-08c6f04a9a1b,0.0047793034464120865
08973cf0-646a-4fa7-9f1f-d03f76ffd59c,0.0008157662814483047
0591fb4e-5b48-4bac-bce7-f2d5d141e976,"0.00045363607932813466"""
